"lat","lat_count","lon","lon_count"
"36.14995","1132","-86.81445","1132"
"36.16425","667","-86.76935","667"
"36.15995","495","-86.77655","495"
"36.14985","433","-86.81445","433"
"36.16425","380","-86.76925","380"
"36.16025","354","-86.77845","354"
"36.16085","333","-86.77705","333"
"36.15895","330","-86.77735","330"
"36.16085","309","-86.77695","309"
"36.16025","305","-86.77835","305"
"36.16035","292","-86.77505","292"
"36.16045","291","-86.77515","291"
"36.16445","289","-86.77685","289"
"36.16395","286","-86.76945","286"
"36.16435","285","-86.76935","285"
"36.16435","277","-86.76925","277"
"36.16025","270","-86.77855","270"
"36.16055","266","-86.77515","266"
"36.16055","252","-86.77525","252"
"36.16045","246","-86.77505","246"
"36.15295","240","-86.78355","240"
"36.14995","229","-86.81435","229"
"36.16305","226","-86.77615","226"
"36.15285","222","-86.78355","222"
"36.15895","219","-86.77745","219"
"36.16305","219","-86.77625","219"
"36.15495","212","-86.78475","212"
"36.16305","212","-86.77595","212"
"36.16405","212","-86.76945","212"
"36.16015","210","-86.77865","210"
"36.16025","209","-86.77825","209"
"36.12585","208","-86.78915","208"
"36.16015","207","-86.77825","207"
"36.16385","207","-86.76935","207"
"36.16015","206","-86.77845","206"
"36.16015","206","-86.77835","206"
"36.15295","203","-86.78365","203"
"36.15235","200","-86.79135","200"
"36.16245","196","-86.77435","196"
"36.15285","194","-86.78345","194"
"36.16015","191","-86.77855","191"
"36.16415","191","-86.76955","191"
"36.16425","188","-86.76955","188"
"36.16305","187","-86.77605","187"
"36.16455","186","-86.77685","186"
"36.15845","185","-86.76815","185"
"36.16395","185","-86.76935","185"
"36.16095","180","-86.77705","180"
"36.16035","179","-86.77515","179"
"36.16295","177","-86.77615","177"
"36.15015","176","-86.81315","176"
"36.16025","176","-86.77865","176"
"36.15295","175","-86.78375","175"
"36.16015","174","-86.77875","174"
"36.12515","173","-86.78985","173"
"36.16795","171","-86.78305","171"
"36.16095","170","-86.77695","170"
"36.16295","169","-86.77625","169"
"36.16045","167","-86.77525","167"
"36.15035","166","-86.79705","166"
"36.15295","166","-86.78345","166"
"36.16035","165","-86.77495","165"
"36.15285","164","-86.78365","164"
"36.15405","164","-86.78455","164"
"36.16575","164","-86.77775","164"
"36.15285","163","-86.78375","163"
"36.15185","162","-86.78435","162"
"36.14905","160","-86.80625","160"
"36.15185","160","-86.78105","160"
"36.16085","160","-86.77715","160"
"36.14985","159","-86.81435","159"
"36.16035","159","-86.77845","159"
"36.16415","158","-86.76945","158"
"36.16795","158","-86.78315","158"
"36.16145","157","-86.77595","157"
"36.16795","157","-86.78295","157"
"36.15365","156","-86.78415","156"
"36.16035","156","-86.77835","156"
"36.14635","155","-86.80995","155"
"36.15635","155","-86.77585","155"
"36.16095","155","-86.77715","155"
"36.16295","155","-86.77605","155"
"36.15995","154","-86.77645","154"
"36.15645","153","-86.77585","153"
"36.16245","153","-86.77425","153"
"36.15685","152","-86.78095","152"
"36.15665","151","-86.78085","151"
"36.16035","151","-86.77825","151"
"36.15405","147","-86.78445","147"
"36.16075","146","-86.77695","146"
"36.16155","146","-86.77595","146"
"36.16315","146","-86.77625","146"
"36.16495","143","-86.77595","143"
"36.15675","142","-86.78095","142"
"36.15165","141","-86.78045","141"
"36.16055","141","-86.77835","141"
"36.16155","141","-86.77585","141"
"36.16445","140","-86.77675","140"
"36.14985","138","-86.79665","138"
"36.15235","138","-86.79115","138"
"36.16245","138","-86.77445","138"
"36.15665","137","-86.78095","137"
"36.15635","136","-86.77595","136"
"36.16315","136","-86.77605","136"
"36.14975","135","-86.81445","135"
"36.15245","135","-86.78385","135"
"36.15545","135","-86.78535","135"
"36.16015","135","-86.77885","135"
"36.16415","135","-86.76925","135"
"36.12765","133","-86.78915","133"
"36.14965","133","-86.81265","133"
"36.16165","133","-86.77595","133"
"36.16575","133","-86.77765","133"
"36.15775","132","-86.77265","132"
"36.15295","131","-86.78985","131"
"36.15375","130","-86.78425","130"
"36.14995","129","-86.79665","129"
"36.15395","129","-86.78445","129"
"36.16445","129","-86.77695","129"
"36.14925","127","-86.81405","127"
"36.15285","127","-86.79005","127"
"36.15115","126","-86.79645","126"
"36.15295","126","-86.78975","126"
"36.16015","125","-86.77815","125"
"36.15175","124","-86.78425","124"
"36.15235","124","-86.78385","124"
"36.15665","124","-86.78075","124"
"36.16105","124","-86.77705","124"
"36.16075","123","-86.77705","123"
"36.16585","123","-86.77775","123"
"36.12645","122","-86.78955","122"
"36.15195","122","-86.78435","122"
"36.14955","121","-86.79735","121"
"36.15295","121","-86.78995","121"
"36.16145","121","-86.77585","121"
"36.16045","120","-86.77825","120"
"36.16085","120","-86.77725","120"
"36.16135","120","-86.77745","120"
"36.15005","119","-86.81285","119"
"36.16205","119","-86.77425","119"
"36.14975","118","-86.79685","118"
"36.15845","118","-86.76825","118"
"36.15285","117","-86.78995","117"
"36.16305","117","-86.77635","117"
"36.15255","116","-86.78385","116"
"36.15675","116","-86.78085","116"
"36.15175","115","-86.78045","115"
"36.15235","115","-86.79105","115"
"36.16205","115","-86.77435","115"
"36.12575","114","-86.78905","114"
"36.15235","114","-86.79125","114"
"36.15835","114","-86.77685","114"
"36.16055","114","-86.77825","114"
"36.16295","114","-86.77635","114"
"36.15015","113","-86.81305","113"
"36.16045","113","-86.77835","113"
"36.16065","113","-86.77525","113"
"36.17345","113","-86.78535","113"
"36.17765","113","-86.77765","113"
